2	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p101.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p103.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p105.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p107.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p109.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p111.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p113.tif
3	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p115.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p117.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p119.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p121.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p123.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p125.tif
3	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p128.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p130.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p132.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p134.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p136.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p138.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p140.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p142.tif
2	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p144.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p146.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p148.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p150.tif
1	s1	s2_cloudFree	s2_cloudy	ROIs1158_spring_100_p152.tif
